label	index	network_label	label_7network	index_17network	label_17network	network_label_17network	atlas_name	network_id	hemisphere_labels
LH-Pu	101.0	CIT168Subcortical					CIT168Subcortical		LH
LH-Ca	102.0	CIT168Subcortical					CIT168Subcortical		LH
LH-NAC	103.0	CIT168Subcortical					CIT168Subcortical		LH
LH-EXA	104.0	CIT168Subcortical					CIT168Subcortical		LH
LH-GPe	105.0	CIT168Subcortical					CIT168Subcortical		LH
LH-GPi	106.0	CIT168Subcortical					CIT168Subcortical		LH
LH-SNc_PBP_VTA	107.0	CIT168Subcortical					CIT168Subcortical		LH
LH-RN	108.0	CIT168Subcortical					CIT168Subcortical		LH
LH-SNr	109.0	CIT168Subcortical					CIT168Subcortical		LH
LH-VeP	110.0	CIT168Subcortical					CIT168Subcortical		LH
LH-HN	111.0	CIT168Subcortical					CIT168Subcortical		LH
LH-HTH	112.0	CIT168Subcortical					CIT168Subcortical		LH
LH-MN	113.0	CIT168Subcortical					CIT168Subcortical		LH
LH-STH	114.0	CIT168Subcortical					CIT168Subcortical		LH
RH-Pu	115.0	CIT168Subcortical					CIT168Subcortical		RH
RH-Ca	116.0	CIT168Subcortical					CIT168Subcortical		RH
RH-NAC	117.0	CIT168Subcortical					CIT168Subcortical		RH
RH-EXA	118.0	CIT168Subcortical					CIT168Subcortical		RH
RH-GPe	119.0	CIT168Subcortical					CIT168Subcortical		RH
RH-GPi	120.0	CIT168Subcortical					CIT168Subcortical		RH
RH-SNc_PBP_VTA	121.0	CIT168Subcortical					CIT168Subcortical		RH
RH-RN	122.0	CIT168Subcortical					CIT168Subcortical		RH
RH-SNr	123.0	CIT168Subcortical					CIT168Subcortical		RH
RH-VeP	124.0	CIT168Subcortical					CIT168Subcortical		RH
RH-HN	125.0	CIT168Subcortical					CIT168Subcortical		RH
RH-HTH	126.0	CIT168Subcortical					CIT168Subcortical		RH
RH-MN	127.0	CIT168Subcortical					CIT168Subcortical		RH
RH-STH	128.0	CIT168Subcortical					CIT168Subcortical		RH
LH-Pulvinar	129.0	ThalamusHCP					ThalamusHCP		LH
LH-Anterior	130.0	ThalamusHCP					ThalamusHCP		LH
LH-Medio_Dorsal	131.0	ThalamusHCP					ThalamusHCP		LH
LH-Ventral_Latero_Dorsal	132.0	ThalamusHCP					ThalamusHCP		LH
LH-Central_Lateral-Lateral_Posterior-Medial_Pulvinar	133.0	ThalamusHCP					ThalamusHCP		LH
LH-Ventral_Anterior	134.0	ThalamusHCP					ThalamusHCP		LH
LH-Ventral_Latero_Ventral	135.0	ThalamusHCP					ThalamusHCP		LH
RH-Pulvinar	136.0	ThalamusHCP					ThalamusHCP		RH
RH-Anterior	137.0	ThalamusHCP					ThalamusHCP		RH
RH-Medio_Dorsal	138.0	ThalamusHCP					ThalamusHCP		RH
RH-Ventral_Latero_Dorsal	139.0	ThalamusHCP					ThalamusHCP		RH
RH-Central_Lateral-Lateral_Posterior-Medial_Pulvinar	140.0	ThalamusHCP					ThalamusHCP		RH
RH-Ventral_Anterior	141.0	ThalamusHCP					ThalamusHCP		RH
RH-Ventral_Latero_Ventral	142.0	ThalamusHCP					ThalamusHCP		RH
LH_Hippocampus	143.0	SubcorticalHCP					SubcorticalHCP		LH
LH_Amygdala	144.0	SubcorticalHCP					SubcorticalHCP		LH
RH_Hippocampus	145.0	SubcorticalHCP					SubcorticalHCP		RH
RH_Amygdala	146.0	SubcorticalHCP					SubcorticalHCP		RH
Cerebellar_Region1	147.0	Cerebellum					Cerebellum		
Cerebellar_Region2	148.0	Cerebellum					Cerebellum		
Cerebellar_Region3	149.0	Cerebellum					Cerebellum		
Cerebellar_Region4	150.0	Cerebellum					Cerebellum		
Cerebellar_Region5	151.0	Cerebellum					Cerebellum		
Cerebellar_Region6	152.0	Cerebellum					Cerebellum		
Cerebellar_Region7	153.0	Cerebellum					Cerebellum		
Cerebellar_Region8	154.0	Cerebellum					Cerebellum		
Cerebellar_Region9	155.0	Cerebellum					Cerebellum		
Cerebellar_Region10	156.0	Cerebellum					Cerebellum		
